,course,professor,semester,section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
32,CMSC122,Fawzi Emad,201401,0201,5,11,6,4,21,4,3,11,2,0,4,0,1,2,1
33,CMSC122,Fawzi Emad,201401,0101,2,13,7,2,17,5,4,5,6,0,2,1,3,7,1
34,CMSC122,Fawzi Emad,201208,0301,5,12,2,3,15,4,3,6,1,1,3,1,10,12,0
35,CMSC122,Fawzi Emad,201208,0201,4,13,4,2,19,8,4,5,1,1,4,0,5,7,0
36,CMSC122,Fawzi Emad,201201,0101,3,21,3,3,14,2,3,17,1,0,7,0,10,13,2
37,CMSC122,Fawzi Emad,201201,0201,4,21,2,1,23,5,1,18,0,0,10,0,6,9,1
38,CMSC122,Pedram Sadeghian,201908,0201,5,7,4,3,9,5,2,5,2,5,0,1,11,3,4
39,CMSC122,Pedram Sadeghian,201901,0201,29,11,10,17,15,5,6,6,4,0,1,0,18,10,1
40,CMSC122,Pedram Sadeghian,201701,0101,5,9,5,9,5,3,8,10,4,5,3,0,0,10,0
41,CMSC122,Pedram Sadeghian,201701,0201,7,6,10,9,7,5,8,10,6,1,0,2,0,4,1
42,CMSC122,Pedram Sadeghian,201701,0301,3,2,4,12,7,6,8,4,8,4,3,0,7,7,0
43,CMSC122,Pedram Sadeghian,201501,0201,2,8,8,7,14,7,3,6,3,3,4,1,4,5,0
44,CMSC122,Pedram Sadeghian,201501,0301,5,4,4,12,12,8,5,5,4,2,4,0,2,9,0
45,CMSC122,Pedram Sadeghian,201208,0101,4,13,6,8,13,2,4,9,1,3,1,1,2,12,0
46,CMSC122,Jandelyn Plane,201308,0101,11,26,7,3,6,6,2,3,0,1,0,0,7,4,0
47,CMSC122,Jandelyn Plane,201308,0201,12,26,14,2,7,3,0,2,3,0,1,1,2,3,0
48,CMSC122,Jandelyn Plane,201308,0301,6,18,7,9,9,3,2,5,4,0,0,2,4,12,0
49,CMSC122,Jandelyn Plane,201301,0101,11,13,12,3,5,6,5,2,4,0,3,1,3,8,0
50,CMSC122,Jandelyn Plane,201301,0201,12,15,7,7,7,3,4,3,1,1,1,2,5,9,0
51,CMSC122,Jandelyn Plane,201301,0301,12,11,9,1,13,5,4,4,0,0,3,1,4,11,0
52,CMSC122,Ioana Bercea,201601,0101,2,7,7,11,12,2,5,5,0,2,0,1,2,18,2
53,CMSC122,Ioana Bercea,201601,0201,2,12,6,5,7,3,6,5,7,0,1,0,4,18,2
54,CMSC122,Ioana Bercea,201601,0301,3,7,12,9,12,5,6,3,0,1,1,0,2,12,3
55,CMSC122,Thomas Reinhardt,201608,0101,4,12,5,11,4,5,3,7,7,0,2,0,3,15,0
56,CMSC122,Thomas Reinhardt,201608,0201,0,6,6,7,6,8,4,3,12,1,1,3,6,15,1
57,CMSC122,Thomas Reinhardt,201608,0301,1,4,12,1,12,4,6,2,10,0,2,1,9,14,0
58,CMSC122,Ilchul Yoon,202008,0101,7,7,9,11,6,9,3,4,5,0,2,0,6,50,0
59,CMSC122,Ilchul Yoon,201908,0101,2,3,4,1,3,4,1,3,1,0,1,0,3,6,1
60,CMSC122,Ilchul Yoon,201808,0101,8,13,10,6,14,4,3,8,3,0,1,1,8,12,0
61,CMSC122,Ilchul Yoon,201808,0201,5,12,6,4,17,5,10,11,9,5,4,2,1,16,1
62,CMSC122,Brian Brubach,201901,0101,4,8,12,9,9,5,6,8,5,1,5,3,8,4,0
63,CMSC122,Jennifer Manly,202101,0101,25,56,0,3,18,0,3,5,0,0,3,0,3,4,21
64,CMSC122,Jennifer Manly,202001,0101,19,42,6,1,4,1,1,0,0,0,0,0,3,4,21
65,CMSC131,Jandelyn Plane,201401,0203,0,5,3,1,8,0,1,2,0,0,3,1,4,1,0
66,CMSC131,Jandelyn Plane,201401,0202,0,9,4,0,2,1,0,4,2,0,4,0,2,3,0
67,CMSC131,Jandelyn Plane,201401,0201,0,9,3,0,4,1,0,6,0,0,2,0,3,3,0
68,CMSC131,Jandelyn Plane,201401,0104,0,12,2,2,4,3,0,2,2,0,0,0,4,2,0
69,CMSC131,Jandelyn Plane,201401,0103,0,11,4,0,8,3,0,2,0,0,0,0,2,1,0
70,CMSC131,Jandelyn Plane,201401,0102,1,4,3,0,5,1,1,3,2,0,1,0,4,9,0
71,CMSC131,Jandelyn Plane,201401,0101,1,11,1,2,7,0,1,2,0,0,0,0,2,5,0
72,CMSC131,Jandelyn Plane,201208,0202,0,6,0,5,3,6,0,2,1,0,1,0,5,0,0
73,CMSC131,Jandelyn Plane,201208,0303,1,9,1,3,2,4,0,0,2,0,5,0,2,2,0
74,CMSC131,Jandelyn Plane,201208,0302,1,7,0,0,2,2,2,4,1,1,3,0,5,3,0
75,CMSC131,Jandelyn Plane,201208,0301,0,10,2,2,5,0,0,1,0,0,5,0,2,3,0
76,CMSC131,Jandelyn Plane,201208,0204,0,10,1,3,6,1,0,2,1,0,3,0,2,1,1
77,CMSC131,Jandelyn Plane,201208,0203,0,8,2,4,4,3,0,3,1,0,2,0,0,4,0
78,CMSC131,Jandelyn Plane,201208,0201,0,11,0,3,5,2,0,0,1,0,3,0,2,1,0
79,CMSC131,Jandelyn Plane,201208,0103,3,5,2,5,6,0,0,2,3,0,2,0,0,2,0
80,CMSC131,Jandelyn Plane,201208,0102,2,2,2,3,8,2,1,6,2,0,3,0,1,1,0
81,CMSC131,Jandelyn Plane,201208,0101,0,5,1,3,6,3,1,5,0,0,1,0,2,4,0
82,CMSC131,Jandelyn Plane,201201,0101,1,3,2,1,6,3,1,2,2,0,0,3,3,3,0
83,CMSC131,Jandelyn Plane,201201,0303,7,5,2,1,4,2,1,4,2,0,0,0,1,0,0
84,CMSC131,Jandelyn Plane,201201,0302,3,4,3,2,3,2,2,1,2,0,2,0,4,2,0
85,CMSC131,Jandelyn Plane,201201,0301,4,4,5,2,5,3,0,1,2,0,0,0,1,4,0
86,CMSC131,Jandelyn Plane,201201,0202,1,6,0,0,6,1,1,6,2,0,1,0,2,6,0
87,CMSC131,Jandelyn Plane,201201,0201,0,4,4,0,4,2,0,5,3,0,1,1,2,4,0
88,CMSC131,Jandelyn Plane,201201,0103,2,4,1,1,3,2,1,2,0,0,1,2,9,2,0
89,CMSC131,Jandelyn Plane,201201,0102,2,2,4,4,2,2,1,1,1,0,1,0,5,7,0
90,CMSC131,Fawzi Emad,202008,0504,0,4,0,1,3,1,1,1,1,2,1,0,0,2,0
91,CMSC131,Fawzi Emad,202008,0201,2,4,1,2,2,3,0,1,1,1,0,0,2,4,0
92,CMSC131,Fawzi Emad,202008,0202,1,5,2,4,2,0,3,2,0,0,1,0,2,2,0
93,CMSC131,Fawzi Emad,202008,0203,2,1,1,0,0,0,5,4,1,1,2,2,0,6,0
94,CMSC131,Fawzi Emad,202008,0204,2,7,2,4,2,2,3,4,0,0,0,1,0,5,0
95,CMSC131,Fawzi Emad,202008,0205,1,6,1,2,7,2,2,4,1,0,1,0,3,1,0
96,CMSC131,Fawzi Emad,202008,0206,2,8,1,2,4,5,2,3,1,1,0,0,1,3,0
97,CMSC131,Fawzi Emad,202008,0207,0,1,0,3,5,5,1,5,2,3,1,0,1,4,0
98,CMSC131,Fawzi Emad,202008,0208,0,0,1,1,1,0,0,0,0,0,0,0,2,3,0
99,CMSC131,Fawzi Emad,202008,0209,4,6,1,4,7,1,2,4,0,2,0,0,1,0,0
100,CMSC131,Fawzi Emad,202008,0401,0,5,0,0,3,0,0,0,0,0,0,0,1,3,0
101,CMSC131,Fawzi Emad,202008,0402,1,5,1,4,2,3,2,1,1,1,0,1,5,1,0
102,CMSC131,Fawzi Emad,202008,0404,2,0,5,4,5,3,2,2,1,0,0,0,2,2,0
103,CMSC131,Fawzi Emad,202008,0405,2,7,3,3,3,0,2,2,0,0,1,1,2,1,0
104,CMSC131,Fawzi Emad,202008,0406,0,3,2,2,2,0,2,3,3,0,2,0,0,4,0
105,CMSC131,Fawzi Emad,202008,0407,1,0,1,0,0,2,0,0,0,0,0,1,0,2,0
106,CMSC131,Fawzi Emad,202008,0408,4,8,2,2,1,4,1,1,1,1,1,0,0,3,0
107,CMSC131,Fawzi Emad,202008,0410,0,2,0,0,1,2,1,0,2,0,1,0,1,1,0
108,CMSC131,Fawzi Emad,202008,0501,0,2,1,3,1,3,1,2,1,0,1,0,3,2,0
109,CMSC131,Fawzi Emad,202008,0502,2,3,0,2,0,3,2,3,0,1,2,0,1,2,0
110,CMSC131,Fawzi Emad,202008,0503,1,5,2,3,3,0,2,0,1,1,0,1,0,2,0
111,CMSC131,Fawzi Emad,202008,0403,4,7,4,3,0,1,2,2,1,0,1,0,1,2,0
112,CMSC131,Fawzi Emad,201908,0210,3,0,2,1,9,2,3,5,2,0,0,0,4,1,0
113,CMSC131,Fawzi Emad,201908,0209,4,1,0,2,2,1,0,4,2,0,0,1,0,1,0
114,CMSC131,Fawzi Emad,201908,0208,0,1,1,1,5,1,2,4,1,1,4,1,2,2,0
115,CMSC131,Fawzi Emad,201908,0207,1,0,1,1,5,3,2,2,3,0,1,1,2,2,0
116,CMSC131,Fawzi Emad,201908,0206,2,4,1,3,0,0,2,5,0,1,0,1,5,0,0
117,CMSC131,Fawzi Emad,201908,0205,2,5,1,1,3,1,0,1,2,0,3,0,10,1,0
118,CMSC131,Fawzi Emad,201908,0204,1,9,0,3,0,4,0,3,1,0,2,0,4,3,0
119,CMSC131,Fawzi Emad,201908,0203,3,3,1,0,4,2,0,2,3,2,1,0,2,2,0
120,CMSC131,Fawzi Emad,201908,0202,1,2,2,2,2,1,2,4,0,0,1,1,3,4,0
121,CMSC131,Fawzi Emad,201908,0201,4,4,1,0,3,1,2,3,0,1,1,0,5,1,0
122,CMSC131,Fawzi Emad,201908,0410,1,5,2,4,10,1,2,3,1,1,0,0,0,2,0
123,CMSC131,Fawzi Emad,201908,0401,2,6,4,1,7,2,1,1,4,1,1,0,1,1,0
124,CMSC131,Fawzi Emad,201908,0402,0,4,3,0,9,2,0,2,2,0,3,1,3,3,0
125,CMSC131,Fawzi Emad,201908,0403,0,3,1,3,4,0,1,4,3,0,2,1,3,9,0
126,CMSC131,Fawzi Emad,201908,0404,4,3,3,1,7,2,4,2,1,1,0,0,1,5,0
127,CMSC131,Fawzi Emad,201908,0405,1,6,6,5,4,1,2,0,2,0,2,1,2,2,0
128,CMSC131,Fawzi Emad,201908,0406,1,0,2,2,5,1,0,1,1,0,1,2,1,0,0
129,CMSC131,Fawzi Emad,201908,0407,3,2,1,1,4,0,1,3,0,0,1,0,0,0,0
130,CMSC131,Fawzi Emad,201908,0408,1,3,1,0,4,1,0,1,0,0,2,0,2,3,0
131,CMSC131,Fawzi Emad,201908,0409,2,4,2,3,8,3,1,3,2,0,0,0,0,4,0
132,CMSC131,Fawzi Emad,201808,0403,3,10,7,7,11,4,3,4,4,1,3,2,3,5,0
133,CMSC131,Fawzi Emad,201808,0409,4,2,2,5,6,3,1,6,6,1,1,2,2,3,0
134,CMSC131,Fawzi Emad,201808,0407,4,9,8,6,9,3,3,9,3,1,2,3,3,3,0
135,CMSC131,Fawzi Emad,201808,0406,2,8,1,2,5,5,1,4,0,0,1,2,2,1,0
136,CMSC131,Fawzi Emad,201808,0404,0,4,1,2,7,3,0,1,3,0,2,2,5,4,0
137,CMSC131,Fawzi Emad,201808,0402,1,5,3,2,4,0,1,2,4,0,2,0,5,3,0
138,CMSC131,Fawzi Emad,201808,0401,2,1,4,3,2,4,1,5,6,0,1,1,4,4,0
139,CMSC131,Fawzi Emad,201808,0204,1,8,1,1,8,3,1,2,2,0,2,1,4,3,0
140,CMSC131,Fawzi Emad,201808,0203,2,2,5,1,2,4,2,4,2,3,2,2,5,1,0
141,CMSC131,Fawzi Emad,201808,0202,6,5,1,4,4,4,3,3,4,0,0,0,2,0,0
142,CMSC131,Fawzi Emad,201808,0201,7,6,3,4,3,5,2,1,1,1,1,0,0,2,0
143,CMSC131,Fawzi Emad,201801,0203,4,0,3,4,3,3,1,4,3,0,0,1,3,3,0
144,CMSC131,Fawzi Emad,201801,0201,3,2,2,4,1,6,3,4,3,2,1,1,4,3,0
145,CMSC131,Fawzi Emad,201801,0202,1,7,4,2,5,3,3,2,1,0,2,0,4,4,0
146,CMSC131,Fawzi Emad,201801,0204,2,4,4,3,6,1,2,2,3,0,2,0,0,3,0
147,CMSC131,Fawzi Emad,201701,0301,0,4,3,1,10,0,1,2,1,1,4,1,4,1,0
148,CMSC131,Fawzi Emad,201701,0101,2,6,1,0,4,4,0,5,1,1,2,0,4,2,0
149,CMSC131,Fawzi Emad,201701,0102,2,8,3,0,4,1,1,7,0,1,3,0,0,3,0
150,CMSC131,Fawzi Emad,201701,0103,4,4,2,2,5,1,0,4,2,0,3,0,5,2,0
151,CMSC131,Fawzi Emad,201701,0104,4,4,2,2,3,3,0,3,1,0,3,1,4,4,0
152,CMSC131,Fawzi Emad,201701,0201,0,5,3,1,8,1,3,5,0,0,1,0,4,2,0
153,CMSC131,Fawzi Emad,201701,0202,2,1,2,1,6,1,1,4,1,1,3,0,3,9,0
154,CMSC131,Fawzi Emad,201701,0203,1,4,4,1,5,3,2,3,3,0,1,0,2,3,0
155,CMSC131,Fawzi Emad,201701,0204,0,3,0,4,7,2,1,5,1,0,5,1,3,0,0
156,CMSC131,Fawzi Emad,201701,0302,2,2,3,1,5,3,3,6,1,0,1,0,4,2,0
157,CMSC131,Fawzi Emad,201701,0303,1,4,0,4,3,3,1,7,1,1,0,0,3,5,0
158,CMSC131,Fawzi Emad,201701,0304,3,3,0,3,5,1,0,8,3,0,1,0,2,4,0
159,CMSC131,Fawzi Emad,201601,0304,4,8,3,2,4,1,1,2,2,1,0,0,2,2,0
160,CMSC131,Fawzi Emad,201601,0101,1,3,3,2,3,4,0,6,0,1,2,0,5,2,0
161,CMSC131,Fawzi Emad,201601,0102,3,6,1,3,5,1,4,0,2,0,0,2,3,2,0
162,CMSC131,Fawzi Emad,201601,0103,6,4,2,3,7,2,3,2,2,1,0,0,4,4,0
163,CMSC131,Fawzi Emad,201601,0104,4,9,3,4,7,1,2,5,1,1,0,0,2,1,0
164,CMSC131,Fawzi Emad,201601,0201,1,4,0,4,3,2,4,4,2,1,4,2,4,5,0
165,CMSC131,Fawzi Emad,201601,0202,3,7,2,3,7,3,1,3,1,2,0,0,2,7,0
166,CMSC131,Fawzi Emad,201601,0204,2,5,1,3,4,1,3,4,4,0,2,0,1,2,0
167,CMSC131,Fawzi Emad,201601,0301,0,4,2,4,4,1,2,4,3,1,2,3,0,2,0
168,CMSC131,Fawzi Emad,201601,0302,4,2,1,3,7,3,3,2,4,1,1,0,4,5,0
169,CMSC131,Fawzi Emad,201601,0303,0,4,1,2,4,1,2,4,0,1,3,1,5,5,0
170,CMSC131,Fawzi Emad,201601,0203,0,8,1,1,4,1,1,8,1,1,1,0,3,2,0
171,CMSC131,Fawzi Emad,201308,0201,2,3,0,1,7,4,0,5,1,0,3,0,4,3,0
172,CMSC131,Fawzi Emad,201308,0101,2,6,0,1,4,1,0,4,3,0,2,0,3,7,0
173,CMSC131,Fawzi Emad,201308,0102,4,3,1,1,12,0,0,2,0,1,2,0,2,6,0
174,CMSC131,Fawzi Emad,201308,0103,0,5,4,1,8,2,1,3,0,0,0,1,2,4,0
175,CMSC131,Fawzi Emad,201308,0104,2,4,2,1,9,2,0,8,1,0,1,0,0,2,0
176,CMSC131,Fawzi Emad,201308,0202,2,4,1,2,6,0,0,1,5,1,4,0,2,5,0
177,CMSC131,Fawzi Emad,201308,0203,3,5,2,0,9,1,0,5,1,0,1,0,1,2,0
178,CMSC131,Fawzi Emad,201308,0204,0,10,1,1,6,0,0,4,2,0,1,0,3,2,0
179,CMSC131,Fawzi Emad,201301,0403,4,5,2,0,6,1,1,5,0,0,1,0,3,1,0
180,CMSC131,Fawzi Emad,201301,0402,0,5,1,1,8,1,0,5,1,0,3,0,3,2,0
181,CMSC131,Fawzi Emad,201301,0401,2,4,0,1,2,1,1,3,1,0,4,0,7,4,0
182,CMSC131,Fawzi Emad,201201,0401,4,4,2,0,5,2,0,6,2,0,0,0,4,4,0
183,CMSC131,Fawzi Emad,201201,0402,2,4,2,0,5,2,0,7,3,0,3,0,6,3,0
184,CMSC131,Evan Golub,201908,0109,0,3,0,0,4,0,0,0,3,0,0,0,2,1,0
185,CMSC131,Evan Golub,201908,0108,2,4,0,0,7,0,0,4,2,0,0,1,1,2,0
186,CMSC131,Evan Golub,201908,0107,1,6,1,0,2,1,0,2,1,0,1,1,4,2,0
187,CMSC131,Evan Golub,201908,0106,1,6,2,0,2,2,0,1,1,0,2,0,2,1,0
188,CMSC131,Evan Golub,201908,0105,0,7,0,1,3,1,0,1,2,0,3,1,2,1,0
189,CMSC131,Evan Golub,201908,0104,1,3,0,0,4,0,0,1,0,0,1,0,2,1,0
190,CMSC131,Evan Golub,201908,0103,2,6,1,1,0,1,1,4,2,0,1,0,4,1,0
191,CMSC131,Evan Golub,201908,0102,1,3,0,2,2,1,0,5,1,0,1,0,4,1,0
192,CMSC131,Evan Golub,201908,0101,0,8,0,2,1,1,0,2,0,0,1,2,3,2,0
193,CMSC131,Evan Golub,201808,0101,2,10,0,1,7,1,0,2,2,0,0,0,6,2,0
194,CMSC131,Evan Golub,201808,0102,1,8,3,0,6,0,3,4,2,0,1,2,6,6,0
195,CMSC131,Evan Golub,201808,0103,1,18,1,0,3,0,2,3,3,0,1,0,4,6,0
196,CMSC131,Evan Golub,201808,0104,2,15,1,1,7,1,0,7,2,0,0,1,2,2,0
197,CMSC131,Evan Golub,201808,0106,1,10,2,0,4,2,1,5,0,0,0,0,4,3,0
198,CMSC131,Evan Golub,201808,0107,3,8,2,0,4,1,0,3,3,0,1,1,3,7,0
199,CMSC131,Evan Golub,201808,0108,1,13,3,1,5,1,1,2,0,0,1,2,8,6,0
200,CMSC131,Evan Golub,201808,0105,3,10,1,0,9,0,1,2,3,0,0,1,6,4,0
201,CMSC131,Evan Golub,201708,0103,0,13,0,0,9,1,3,6,1,0,2,0,4,1,0
202,CMSC131,Evan Golub,201708,0101,1,13,1,2,8,1,0,4,2,0,1,0,4,3,0
203,CMSC131,Evan Golub,201708,0102,0,10,1,2,9,1,1,8,1,0,1,0,6,5,0
204,CMSC131,Evan Golub,201708,0104,2,10,1,2,7,3,0,6,1,0,5,0,2,1,0
205,CMSC131,Evan Golub,201708,0105,2,9,0,1,9,1,0,5,1,0,3,1,6,6,0
206,CMSC131,Evan Golub,201708,0106,0,12,3,0,9,1,0,4,1,0,3,0,4,3,0
207,CMSC131,Evan Golub,201708,0107,1,9,2,3,12,1,0,9,3,0,0,1,3,0,0
208,CMSC131,Evan Golub,201708,0108,0,13,1,1,12,0,0,5,1,0,4,0,5,2,0
209,CMSC131,Evan Golub,201608,0508,1,10,0,2,7,1,2,6,1,0,3,0,3,5,0
210,CMSC131,Evan Golub,201608,0507,1,8,1,4,11,1,1,4,2,0,1,1,3,3,0
211,CMSC131,Evan Golub,201608,0506,1,10,1,0,6,1,0,2,2,0,3,1,5,2,0
212,CMSC131,Evan Golub,201608,0505,1,7,0,2,11,1,0,4,0,0,2,0,3,2,0
213,CMSC131,Evan Golub,201608,0504,3,9,0,2,10,0,0,4,2,0,2,0,2,2,0
214,CMSC131,Evan Golub,201608,0503,0,13,2,0,5,2,1,5,4,0,0,3,3,2,0
215,CMSC131,Evan Golub,201608,0502,0,16,1,3,6,1,1,3,0,0,1,3,2,4,0
216,CMSC131,Evan Golub,201608,0501,2,8,1,2,13,2,0,2,0,0,2,1,5,3,0
217,CMSC131,Evan Golub,201501,0404,1,6,0,0,5,1,0,3,4,0,1,2,10,3,0
218,CMSC131,Evan Golub,201501,0403,2,6,2,0,3,3,1,1,1,0,4,3,4,6,0
219,CMSC131,Evan Golub,201501,0402,4,3,0,0,5,0,1,4,0,0,2,0,8,6,0
220,CMSC131,Evan Golub,201501,0304,1,6,0,0,6,1,0,2,1,0,6,0,7,1,0
221,CMSC131,Evan Golub,201501,0303,0,3,0,0,8,4,3,5,1,0,1,0,4,5,0
222,CMSC131,Evan Golub,201501,0302,2,5,1,1,6,1,0,3,2,0,3,4,4,5,0
223,CMSC131,Evan Golub,201501,0301,3,7,2,1,4,0,0,2,2,0,1,1,6,4,0
224,CMSC131,Evan Golub,201501,0103,1,4,0,1,6,1,1,4,2,0,2,1,5,4,0
225,CMSC131,Evan Golub,201501,0102,2,3,0,0,9,1,1,1,2,0,5,3,6,4,0
226,CMSC131,Evan Golub,201501,0101,0,7,0,1,3,1,1,4,2,0,0,0,10,8,0
227,CMSC131,Evan Golub,201408,0101,1,3,4,2,8,2,0,3,0,0,5,1,3,1,0
228,CMSC131,Evan Golub,201408,0102,0,7,1,0,9,0,1,5,1,0,1,0,4,3,0
229,CMSC131,Evan Golub,201408,0103,1,2,2,0,11,0,0,7,0,0,2,0,4,3,0
230,CMSC131,Evan Golub,201408,0104,1,6,3,1,5,2,0,5,1,0,3,2,2,2,0
231,CMSC131,Evan Golub,201408,0202,1,8,3,0,7,0,0,4,2,0,2,0,6,3,0
232,CMSC131,Evan Golub,201408,0203,0,7,0,0,9,0,0,4,1,0,7,1,4,3,0
233,CMSC131,Evan Golub,201408,0204,0,8,0,1,10,2,1,5,3,0,4,0,2,1,0
234,CMSC131,Evan Golub,201408,0201,0,1,1,2,8,2,0,11,1,0,5,1,2,2,0
235,CMSC131,Evan Golub,201308,0303,1,7,3,2,3,2,1,3,1,0,1,0,3,3,0
236,CMSC131,Evan Golub,201308,0301,1,7,4,0,7,3,1,1,2,0,0,0,2,2,0
237,CMSC131,Evan Golub,201308,0302,1,8,4,3,2,4,0,1,2,1,0,0,1,3,0
238,CMSC131,Evan Golub,201308,0304,4,5,2,3,0,2,0,7,1,0,1,2,0,4,0
239,CMSC131,Evan Golub,201308,0401,1,2,3,1,4,1,2,1,1,2,4,1,4,3,0
240,CMSC131,Evan Golub,201308,0402,0,6,0,3,7,4,2,2,2,1,1,0,2,0,0
241,CMSC131,Evan Golub,201308,0403,1,3,1,2,4,1,1,6,0,0,1,0,8,2,0
242,CMSC131,Evan Golub,201308,0404,0,4,1,0,6,2,0,4,0,1,0,1,4,6,0
243,CMSC131,Evan Golub,201301,0303,1,3,1,0,6,0,0,3,0,0,3,1,4,9,0
244,CMSC131,Evan Golub,201301,0302,0,6,2,0,5,1,0,5,0,0,0,0,4,7,0
245,CMSC131,Evan Golub,201301,0301,0,3,3,0,7,0,0,3,0,0,3,0,5,4,1
246,CMSC131,Evan Golub,201301,0203,0,4,1,0,5,0,0,6,0,0,4,0,5,5,0
247,CMSC131,Evan Golub,201301,0202,0,5,2,0,10,2,1,5,0,0,1,0,0,4,0
248,CMSC131,Evan Golub,201301,0201,1,4,2,1,4,0,1,2,3,0,2,0,2,7,0
249,CMSC131,Evan Golub,201208,0401,2,3,0,1,7,0,1,3,1,3,3,0,1,5,0
250,CMSC131,Evan Golub,201208,0403,2,8,2,1,1,2,2,8,0,0,1,1,0,0,0
251,CMSC131,Evan Golub,201208,0402,1,6,2,2,2,2,0,3,2,0,2,0,3,5,0
252,CMSC131,Thomas Reinhardt,201701,0408,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0
253,CMSC131,Thomas Reinhardt,201701,0407,0,1,0,2,1,0,0,2,0,0,1,2,4,4,0
254,CMSC131,Thomas Reinhardt,201701,0406,2,3,1,2,2,4,5,1,0,2,0,1,4,5,0
255,CMSC131,Thomas Reinhardt,201701,0405,0,6,1,2,1,0,2,1,3,0,0,0,0,1,0
256,CMSC131,Thomas Reinhardt,201701,0403,1,1,3,1,0,0,2,1,1,0,0,0,2,1,0
257,CMSC131,Thomas Reinhardt,201701,0402,4,3,1,2,2,2,4,2,3,1,0,0,1,4,0
258,CMSC131,Thomas Reinhardt,201701,0401,1,5,3,3,1,2,2,1,2,1,0,3,4,7,0
259,CMSC131,Thomas Reinhardt,201501,0202,0,1,2,8,2,3,3,0,4,2,1,0,3,1,0
260,CMSC131,Thomas Reinhardt,201501,0203,3,3,5,1,4,2,2,0,3,1,0,0,3,2,0
261,CMSC131,Thomas Reinhardt,201501,0201,0,2,2,4,1,7,1,0,5,1,2,0,3,2,0
